"","Date","Home_Team","Away_Team"
"1","May 14","CLE","FM"
"2","May 15","CLE","FM"
"3","May 15","KCO","KC"
"4","May 15","CHI","SC"
"5","May 15","MKE","WPG"
"6","May 15","LC","GAR"
"7","May 15","LIN","SF "
"8","May 16","CLE","FM"
"9","May 16","KCO","KC"
"10","May 16","CHI","SC"
"11","May 16","MKE","WPG"
"12","May 16","LC","GAR"
"13","May 16","LIN","SF "
"14","May 17","CLE","FM"
"15","May 17","KCO","KC"
"16","May 17","CHI","SC"
"17","May 17","MKE","WPG"
"18","May 17","LC","GAR"
"19","May 17","LIN","SF "
"20","May 18","CLE","FM "
"21","May 18","MKE","GAR"
"22","May 18","SF","LC "
"23","May 19","CLE","FM"
"24","May 19","MKE","GAR"
"25","May 19","KC","CHI"
"26","May 19","LIN","SC"
"27","May 19","SF","LC "
"28","May 19","WPG","KCO"
"29","May 20","CLE","FM "
"30","May 20","MKE","GAR"
"31","May 20","KC","CHI"
"32","May 20","LIN","SC"
"33","May 20","SF","LC "
"34","May 20","WPG","KCO"
"35","May 21","KC","CHI"
"36","May 21","LIN","SC"
"37","May 21","SF","LC "
"38","May 21","WPG","KCO "
"39","May 22","GAR","CLE"
"40","May 22","KC","LC"
"41","May 22","SC","LIN"
"42","May 22","SF","CHI"
"43","May 22","FM","KCO"
"44","May 22","WPG","MKE  "
"45","May 23","GAR","CLE"
"46","May 23","KC","LC"
"47","May 23","SC","LIN"
"48","May 23","SF","CHI"
"49","May 23","FM","KCO"
"50","May 23","WPG","MKE  "
"51","May 24","GAR","CLE"
"52","May 24","KC","LC"
"53","May 24","SC","LIN"
"54","May 24","SF","CHI"
"55","May 24","FM","KCO "
"56","May 24","WPG","MKE  "
"57","May 25","SC","MKE  "
"58","May 25","LIN","KC"
"59","May 26","GAR","WPG"
"60","May 26","CHI","CLE"
"61","May 26","LIN","KC"
"62","May 26","SC","MKE  "
"63","May 26","FM","LC"
"64","May 27","GAR","WPG"
"65","May 27","KCO","SF "
"66","May 27","CHI","CLE"
"67","May 27","LIN","KC"
"68","May 27","SC","MKE  "
"69","May 27","FM","LC "
"70","May 28","GAR","WPG"
"71","May 28","KCO","SF "
"72","May 28","CHI","CLE"
"73","May 28","SC","MKE  "
"74","May 28","FM","LC"
"75","May 29","GAR","CLE"
"76","May 29","KCO","LIN"
"77","May 29","CHI","WPG"
"78","May 29","LC","MKE  "
"79","May 29","KC","SC"
"80","May 29","SF","FM "
"81","May 30","GAR","CLE"
"82","May 30","KCO","LIN"
"83","May 30","CHI","WPG"
"84","May 30","LC","MKE  "
"85","May 30","KC","SC"
"86","May 30","SF","FM"
"87","May 31","GAR","CLE"
"88","May 31","KCO","LIN"
"89","May 31","CHI","WPG"
"90","May 31","LC","MKE  "
"91","May 31","KC","SC"
"92","May 31","SF","FM"
