"Date","Home_Team","Away_Team"
"May 14","CLE","FM"
"May 15","CLE","FM"
"May 15","KCO","KC"
"May 15","CHI","SC"
"May 15","MKE","WPG"
"May 15","LC","GAR"
"May 15","LIN","SF "
"May 16","CLE","FM"
"May 16","KCO","KC"
"May 16","CHI","SC"
"May 16","MKE","WPG"
"May 16","LC","GAR"
"May 16","LIN","SF "
"May 17","CLE","FM"
"May 17","KCO","KC"
"May 17","CHI","SC"
"May 17","MKE","WPG"
"May 17","LC","GAR"
"May 17","LIN","SF "
"May 18","CLE","FM "
"May 18","MKE","GAR"
"May 18","SF","LC "
"May 19","CLE","FM"
"May 19","MKE","GAR"
"May 19","KC","CHI"
"May 19","LIN","SC"
"May 19","SF","LC "
"May 19","WPG","KCO"
"May 20","CLE","FM "
"May 20","MKE","GAR"
"May 20","KC","CHI"
"May 20","LIN","SC"
"May 20","SF","LC "
"May 20","WPG","KCO"
"May 21","KC","CHI"
"May 21","LIN","SC"
"May 21","SF","LC "
"May 21","WPG","KCO "
"May 22","GAR","CLE"
"May 22","KC","LC"
"May 22","SC","LIN"
"May 22","SF","CHI"
"May 22","FM","KCO"
"May 22","WPG","MKE  "
"May 23","GAR","CLE"
"May 23","KC","LC"
"May 23","SC","LIN"
"May 23","SF","CHI"
"May 23","FM","KCO"
"May 23","WPG","MKE  "
"May 24","GAR","CLE"
"May 24","KC","LC"
"May 24","SC","LIN"
"May 24","SF","CHI"
"May 24","FM","KCO "
"May 24","WPG","MKE  "
"May 25","SC","MKE  "
"May 25","LIN","KC"
"May 26","GAR","WPG"
"May 26","CHI","CLE"
"May 26","LIN","KC"
"May 26","SC","MKE  "
"May 26","FM","LC"
"May 27","GAR","WPG"
"May 27","KCO","SF "
"May 27","CHI","CLE"
"May 27","LIN","KC"
"May 27","SC","MKE  "
"May 27","FM","LC "
"May 28","GAR","WPG"
"May 28","KCO","SF "
"May 28","CHI","CLE"
"May 28","SC","MKE  "
"May 28","FM","LC"
"May 29","GAR","CLE"
"May 29","KCO","LIN"
"May 29","CHI","WPG"
"May 29","LC","MKE  "
"May 29","KC","SC"
"May 29","SF","FM "
"May 30","GAR","CLE"
"May 30","KCO","LIN"
"May 30","CHI","WPG"
"May 30","LC","MKE  "
"May 30","KC","SC"
"May 30","SF","FM"
"May 31","GAR","CLE"
"May 31","KCO","LIN"
"May 31","CHI","WPG"
"May 31","LC","MKE  "
"May 31","KC","SC"
"May 31","SF","FM"
